2025-03-24 18:13:14,257 - root - INFO - Logging system initialized
2025-03-24 18:13:14,258 - utils.process_manager - INFO - ProcessManager initialized
2025-03-24 18:13:16,119 - utils.ai_manager - INFO - AI models initialized successfully
2025-03-24 18:14:13,687 - root - INFO - Logging system initialized
2025-03-24 18:14:13,688 - utils.process_manager - INFO - ProcessManager initialized
2025-03-24 18:14:14,881 - utils.ai_manager - INFO - AI models initialized successfully
2025-03-24 18:14:22,287 - utils.process_manager - WARNING - Error getting process info for PID 5416: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,287 - utils.process_manager - WARNING - Error getting process info for PID 5428: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,287 - utils.process_manager - WARNING - Error getting process info for PID 5436: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,288 - utils.process_manager - WARNING - Error getting process info for PID 5444: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,288 - utils.process_manager - WARNING - Error getting process info for PID 5452: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,288 - utils.process_manager - WARNING - Error getting process info for PID 5460: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,288 - utils.process_manager - WARNING - Error getting process info for PID 5468: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,288 - utils.process_manager - WARNING - Error getting process info for PID 5484: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,288 - utils.process_manager - WARNING - Error getting process info for PID 5508: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,288 - utils.process_manager - WARNING - Error getting process info for PID 5520: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,296 - utils.process_manager - WARNING - Error getting process info for PID 5560: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,303 - utils.process_manager - WARNING - Error getting process info for PID 5624: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,310 - utils.process_manager - WARNING - Error getting process info for PID 5656: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,310 - utils.process_manager - WARNING - Error getting process info for PID 5756: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,310 - utils.process_manager - WARNING - Error getting process info for PID 5796: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,310 - utils.process_manager - WARNING - Error getting process info for PID 5816: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,311 - utils.process_manager - WARNING - Error getting process info for PID 5844: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,311 - utils.process_manager - WARNING - Error getting process info for PID 5872: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,311 - utils.process_manager - WARNING - Error getting process info for PID 5880: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,311 - utils.process_manager - WARNING - Error getting process info for PID 5896: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,311 - utils.process_manager - WARNING - Error getting process info for PID 5908: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,311 - utils.process_manager - WARNING - Error getting process info for PID 5936: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,312 - utils.process_manager - WARNING - Error getting process info for PID 5944: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,319 - utils.process_manager - WARNING - Error getting process info for PID 6000: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,319 - utils.process_manager - WARNING - Error getting process info for PID 6008: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,319 - utils.process_manager - WARNING - Error getting process info for PID 6032: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,339 - utils.process_manager - WARNING - Error getting process info for PID 6204: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,339 - utils.process_manager - WARNING - Error getting process info for PID 6364: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,339 - utils.process_manager - WARNING - Error getting process info for PID 6512: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,339 - utils.process_manager - WARNING - Error getting process info for PID 6680: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,369 - utils.process_manager - WARNING - Error getting process info for PID 6928: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,370 - utils.process_manager - WARNING - Error getting process info for PID 7220: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,370 - utils.process_manager - WARNING - Error getting process info for PID 7224: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,370 - utils.process_manager - WARNING - Error getting process info for PID 7328: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,370 - utils.process_manager - WARNING - Error getting process info for PID 7464: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,377 - utils.process_manager - WARNING - Error getting process info for PID 7580: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,383 - utils.process_manager - WARNING - Error getting process info for PID 7708: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,383 - utils.process_manager - WARNING - Error getting process info for PID 7744: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,383 - utils.process_manager - WARNING - Error getting process info for PID 7752: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,383 - utils.process_manager - WARNING - Error getting process info for PID 7844: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,384 - utils.process_manager - WARNING - Error getting process info for PID 7852: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,384 - utils.process_manager - WARNING - Error getting process info for PID 7860: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,396 - utils.process_manager - WARNING - Error getting process info for PID 7976: (5, 'OpenProcess', 'Access is denied.')
